delete,dq,matches_played,qual_average,rank,team_key,losses,wins,ties,ranking_score,cargo,hatch,hab,sandstorm_bonus,ranking_points
0,0,12,,1,frc1477,0,11,1,2.91,195,84,210,147,35
1,0,12,,2,frc6377,2,10,0,2.5,216,100,195,129,30
2,0,12,,3,frc4063,2,9,1,2.41,231,72,201,132,29
3,0,12,,4,frc1817,2,10,0,2.25,234,64,159,141,27
4,0,12,,5,frc7521,2,10,0,2.08,237,126,150,165,25
5,0,12,,6,frc7492,3,9,0,1.75,216,68,141,135,21
6,0,12,,7,frc4378,3,9,0,1.75,204,48,123,168,21
7,0,12,,8,frc5892,6,6,0,1.58,276,82,168,150,19
8,0,12,,9,frc457,4,7,1,1.58,237,80,120,132,19
9,0,12,,10,frc5572,4,7,1,1.41,237,72,117,153,17
10,0,12,,11,frc3240,5,7,0,1.41,225,78,123,168,17
11,0,12,,12,frc3997,5,7,0,1.33,219,60,114,165,16
12,0,12,,13,frc6682,5,6,1,1.33,201,136,132,132,16
13,0,12,,14,frc5960,5,6,1,1.25,240,66,108,168,15
14,0,12,,15,frc6180,6,5,1,1.25,141,84,120,132,15
15,0,12,,16,frc3345,6,6,0,1.16,228,68,114,144,14
16,0,12,,17,frc3035,6,6,0,1.16,222,64,123,147,14
17,0,12,,18,frc6935,4,5,3,1.16,213,58,105,135,14
18,0,12,,19,frc5986,5,5,2,1.16,207,24,117,141,14
19,0,12,,20,frc4734,6,5,1,1.16,204,48,129,138,14
20,0,12,,21,frc4694,7,5,0,1.16,192,52,126,144,14
21,0,12,,22,frc4639,6,6,0,1.16,174,78,99,132,14
22,0,12,,23,frc5894,6,4,2,1.08,219,56,132,126,13
23,0,12,,24,frc1164,6,5,1,1.08,192,66,96,156,13
24,0,12,,25,frc3545,7,5,0,1.08,186,44,111,159,13
25,0,12,,26,frc6800,7,5,0,1,231,106,99,129,12
26,0,12,,27,frc7750,7,4,1,1,183,54,114,156,12
27,0,12,,28,frc6830,7,5,0,1,177,50,108,147,12
28,0,12,,29,frc7264,8,4,0,1,138,38,123,144,12
29,0,12,,30,frc5427,7,5,0,0.91,243,78,102,126,11
30,0,12,,31,frc5726,7,4,1,0.91,186,62,102,117,11
31,0,12,,32,frc4219,7,5,0,0.91,174,70,105,162,11
32,0,12,,33,frc6315,8,4,0,0.83,213,52,117,132,10
33,0,12,,34,frc7088,7,4,1,0.83,213,46,105,162,10
34,0,12,,35,frc7063,8,3,1,0.83,186,48,108,144,10
35,0,12,,36,frc4332,7,4,1,0.83,183,48,87,162,10
36,0,12,,37,frc3481,8,4,0,0.75,222,86,105,159,9
37,0,12,,38,frc4412,9,3,0,0.75,183,72,111,102,9
38,0,12,,39,frc7138,8,3,1,0.58,204,56,84,132,7
39,0,12,,40,frc653,10,0,2,0.33,144,38,93,129,4
0,0,10,,1,frc359,0,10,0,2.8,252,100,147,117,28
1,0,10,,2,frc6485,1,9,0,2.8,198,84,156,132,28
2,0,10,,3,frc2122,2,8,0,2.6,255,88,141,114,26
3,0,10,,4,frc4627,1,9,0,2.6,249,102,147,135,26
4,0,10,,5,frc5015,3,7,0,2.1,207,96,159,111,21
5,0,10,,6,frc1622,3,6,1,2.1,162,52,165,132,21
6,0,10,,7,frc6351,4,6,0,1.8,207,80,111,99,18
7,0,10,,8,frc7591,3,7,0,1.8,180,74,123,108,18
8,0,10,,9,frc4774,4,6,0,1.8,153,50,132,111,18
9,0,10,,10,frc6188,5,5,0,1.7,204,62,147,132,17
10,0,10,,11,frc4334,3,7,0,1.6,210,80,102,141,16
11,0,10,,12,frc6823,3,6,1,1.6,192,48,138,114,16
12,0,10,,13,frc4010,5,5,0,1.5,171,60,108,138,15
13,0,10,,14,frc4604,5,5,0,1.5,171,50,114,141,15
14,0,10,,15,frc3216,4,6,0,1.5,168,54,108,99,15
15,0,10,,16,frc7205,5,4,1,1.4,162,56,117,105,14
16,1,10,,17,frc3250,4,5,0,1.4,150,74,120,99,14
17,0,10,,18,frc7246,4,6,0,1.4,147,40,93,108,14
18,0,10,,19,frc3729,5,5,0,1.3,168,90,90,105,13
19,0,10,,20,frc7799,6,4,0,1.3,135,46,138,108,13
20,0,10,,21,frc6178,6,4,0,1.3,123,60,135,132,13
21,0,10,,22,frc5078,6,4,0,1.3,111,36,108,117,13
22,0,10,,23,frc7277,5,5,0,1.1,147,72,81,135,11
23,0,10,,24,frc1482,6,3,1,1.1,135,70,108,117,11
24,0,10,,25,frc6700,6,4,0,1.1,123,44,84,93,11
25,0,10,,26,frc4733,6,4,0,1,198,58,90,108,10
26,0,10,,27,frc5725,5,5,0,1,171,42,87,117,10
27,0,10,,28,frc6841,5,4,1,1,159,38,90,141,10
28,0,10,,29,frc5118,7,3,0,0.9,168,40,108,126,9
29,0,10,,30,frc6179,7,3,0,0.8,177,44,84,108,8
30,0,10,,31,frc6041,6,3,1,0.8,162,62,69,114,8
31,0,10,,32,frc7843,7,3,0,0.8,120,58,87,108,8
32,0,10,,33,frc7706,7,3,0,0.8,108,62,78,117,8
33,0,10,,34,frc4191,7,3,0,0.7,153,40,72,99,7
34,0,10,,35,frc4625,7,3,0,0.7,93,56,78,108,7
35,1,10,,36,frc5597,7,2,0,0.5,132,54,51,87,5
36,0,10,,37,frc6701,10,0,0,0.1,129,34,69,99,1
0,0,10,,1,frc16,1,9,0,2.8,246,112,159,129,28
1,0,10,,2,frc4451,1,9,0,2.8,216,86,174,96,28
2,0,10,,3,frc364,1,9,0,2.7,255,98,162,138,27
3,0,10,,4,frc342,1,9,0,2.6,252,112,120,138,26
4,0,10,,5,frc3814,2,7,1,2.6,153,94,168,132,26
5,0,10,,6,frc27,2,8,0,2.5,201,84,162,99,25
6,0,10,,7,frc234,3,7,0,2.5,162,124,174,135,25
7,0,10,,8,frc1421,1,9,0,2.5,159,134,138,144,25
8,0,10,,9,frc6366,2,7,1,2.1,165,114,141,117,21
9,0,10,,10,frc4965,1,9,0,2,189,76,96,132,20
10,0,10,,11,frc2556,2,8,0,2,189,66,93,123,20
11,0,10,,12,frc456,4,6,0,1.8,150,68,156,132,18
12,0,10,,13,frc5410,4,6,0,1.8,132,60,144,129,18
13,0,10,,14,frc4924,4,6,0,1.7,168,74,105,117,17
14,0,10,,15,frc63,4,6,0,1.7,108,68,114,87,17
15,0,10,,16,frc2783,5,5,0,1.5,204,88,108,123,15
16,0,10,,17,frc7111,4,6,0,1.5,183,70,120,108,15
17,0,10,,18,frc6107,4,6,0,1.5,153,52,99,123,15
18,0,10,,19,frc6404,4,6,0,1.4,195,78,90,117,14
19,0,10,,20,frc7446,4,5,1,1.4,141,60,102,129,14
20,0,10,,21,frc3959,3,6,1,1.3,231,56,66,126,13
21,0,10,,22,frc538,5,5,0,1.3,222,66,132,117,13
22,0,10,,23,frc2183,5,5,0,1.3,168,68,108,111,13
23,0,10,,24,frc2815,5,5,0,1.3,135,76,93,105,13
24,0,10,,25,frc442,6,4,0,1.3,135,52,105,108,13
25,0,10,,26,frc1319,4,6,0,1.3,123,58,81,105,13
26,0,10,,27,frc7512,5,5,0,1.3,102,52,105,99,13
27,0,10,,28,frc4533,5,5,0,1.2,186,68,75,147,12
28,0,10,,29,frc34,5,5,0,1.2,183,58,90,108,12
29,0,10,,30,frc1466,5,5,0,1.2,177,76,102,126,12
30,0,10,,31,frc4265,5,5,0,1.2,144,76,102,123,12
31,0,10,,32,frc4306,5,5,0,1.2,132,50,78,129,12
32,0,10,,33,frc7484,5,5,0,1.2,117,70,108,105,12
33,0,10,,34,frc7072,5,5,0,1,198,62,81,108,10
34,0,10,,35,frc5045,6,4,0,1,198,44,96,114,10
35,0,10,,36,frc6157,6,4,0,1,165,68,87,111,10
36,0,10,,37,frc5005,6,4,0,1,150,46,78,132,10
37,0,10,,38,frc4013,6,4,0,1,135,90,87,129,10
38,0,10,,39,frc5858,6,4,0,1,123,70,96,111,10
39,0,10,,40,frc547,6,4,0,1,117,52,78,111,10
40,0,10,,41,frc6145,7,2,1,0.9,84,34,99,132,9
41,0,10,,42,frc2973,7,3,0,0.8,132,62,96,120,8
42,0,10,,43,frc7525,7,3,0,0.8,123,28,105,90,8
43,0,10,,44,frc7428,7,3,0,0.8,114,66,105,114,8
44,0,10,,45,frc7693,7,3,0,0.8,108,52,105,84,8
45,0,10,,46,frc3792,7,3,0,0.7,153,42,81,129,7
46,0,10,,47,frc3139,7,3,0,0.7,132,38,78,120,7
47,0,10,,48,frc3319,8,2,0,0.6,150,66,93,114,6
48,0,10,,49,frc4740,8,2,0,0.6,114,34,87,108,6
49,0,10,,50,frc3843,8,2,0,0.6,78,74,78,102,6
50,0,10,,51,frc6937,8,2,0,0.6,66,42,87,117,6
51,0,10,,52,frc7313,8,2,0,0.5,108,26,69,96,5
52,0,10,,53,frc5058,8,2,0,0.5,105,50,78,99,5
53,0,10,,54,frc5616,8,1,1,0.4,165,42,84,117,4
54,1,10,,55,frc4764,8,1,0,0.2,63,40,78,93,2
0,0,10,,1,frc5460,1,9,0,3.4,393,226,186,150,34
1,0,10,,2,frc2481,1,9,0,3.4,354,226,192,150,34
2,0,10,,3,frc1325,1,9,0,3.2,417,220,177,141,32
3,0,10,,4,frc2826,3,7,0,3.2,339,188,201,132,32
4,0,10,,5,frc2539,2,8,0,3.1,336,190,183,138,31
5,0,10,,6,frc5406,3,7,0,2.9,363,164,192,141,29
6,0,10,,7,frc4776,3,7,0,2.9,360,204,168,141,29
7,0,10,,8,frc910,4,5,1,2.7,363,188,180,135,27
8,0,10,,9,frc1640,4,6,0,2.7,342,210,183,141,27
9,0,10,,10,frc5687,3,6,1,2.6,387,202,168,144,26
10,0,10,,11,frc1310,3,7,0,2.6,333,178,204,150,26
11,0,10,,12,frc222,4,6,0,2.6,297,170,180,147,26
12,0,10,,13,frc2577,3,7,0,2.5,273,160,162,135,25
13,0,10,,14,frc33,4,6,0,2.4,324,176,177,144,24
14,0,10,,15,frc5216,4,6,0,2.4,306,172,186,147,24
15,0,10,,16,frc3015,4,5,1,2.4,288,166,192,138,24
16,0,10,,17,frc271,3,6,1,2.4,228,140,198,147,24
17,0,10,,18,frc5404,4,6,0,2.3,306,150,183,147,23
18,0,10,,19,frc188,4,6,0,2.3,276,180,153,132,23
19,0,10,,20,frc2054,6,4,0,2.3,276,176,186,141,23
20,0,10,,21,frc3184,4,6,0,2.3,276,144,165,147,23
21,0,10,,22,frc930,4,6,0,2.2,330,174,165,126,22
22,0,10,,23,frc1720,3,6,1,2.2,297,178,189,147,22
23,0,10,,24,frc4027,4,6,0,2.2,297,142,177,132,22
24,0,10,,25,frc2231,4,6,0,2.2,288,174,189,147,22
25,0,10,,26,frc4976,4,5,1,2.2,270,136,192,150,22
26,0,10,,27,frc5676,5,5,0,2.1,336,170,186,144,21
27,0,10,,28,frc614,4,5,1,2.1,306,160,168,138,21
28,0,10,,29,frc3688,5,4,1,2.1,291,150,192,150,21
29,0,10,,30,frc6032,4,6,0,2.1,288,178,153,117,21
30,0,10,,31,frc1025,4,5,1,2.1,288,144,168,144,21
31,0,10,,32,frc2077,4,6,0,2.1,273,170,147,129,21
32,0,10,,33,frc384,4,6,0,2.1,264,146,168,138,21
33,0,10,,34,frc4678,5,5,0,2,306,176,162,147,20
34,0,10,,35,frc1322,5,5,0,2,294,160,153,141,20
35,0,10,,36,frc4311,4,6,0,2,288,150,162,144,20
36,0,10,,37,frc564,5,5,0,2,282,170,186,126,20
37,0,10,,38,frc2852,5,5,0,2,270,146,186,147,20
38,0,10,,39,frc7605,4,5,1,2,240,164,174,132,20
39,0,10,,40,frc5927,5,5,0,1.9,267,150,171,147,19
40,0,10,,41,frc4391,5,4,1,1.9,267,142,195,123,19
41,0,10,,42,frc7741,6,4,0,1.9,264,140,171,141,19
42,0,10,,43,frc2526,4,5,1,1.9,264,132,168,147,19
43,0,10,,44,frc3534,5,5,0,1.8,321,198,147,138,18
44,1,10,,45,frc3928,5,4,0,1.8,261,154,159,129,18
45,0,10,,46,frc1937,6,4,0,1.7,285,152,174,126,17
46,0,10,,47,frc6591,6,4,0,1.7,258,194,165,150,17
47,0,10,,48,frc3770,5,3,2,1.7,258,158,168,135,17
48,0,10,,49,frc509,6,4,0,1.7,255,160,165,147,17
49,0,10,,50,frc1188,6,4,0,1.7,255,132,168,141,17
50,0,10,,51,frc4956,5,4,1,1.6,267,134,165,138,16
51,0,10,,52,frc4325,7,3,0,1.6,255,148,180,123,16
52,0,10,,53,frc7858,6,3,1,1.6,240,94,180,147,16
53,0,10,,54,frc3996,5,3,2,1.6,237,118,156,138,16
54,0,10,,55,frc7617,6,4,0,1.5,282,122,156,126,15
55,0,10,,56,frc7650,6,3,1,1.5,255,146,171,117,15
56,0,10,,57,frc6802,7,3,0,1.4,258,130,165,129,14
57,0,10,,58,frc4707,7,3,0,1.4,246,122,147,129,14
58,0,10,,59,frc5860,7,3,0,1.4,243,96,162,150,14
59,0,10,,60,frc1660,7,3,0,1.4,240,146,132,117,14
60,0,10,,61,frc2708,6,2,2,1.3,237,108,141,135,13
61,0,10,,62,frc4004,7,1,2,1.2,315,148,165,138,12
62,0,10,,63,frc1403,8,2,0,1.2,294,148,171,132,12
63,0,10,,64,frc141,8,2,0,1.2,291,126,162,147,12
64,0,10,,65,frc7589,8,1,1,1.2,210,110,165,141,12
65,0,10,,66,frc4150,8,2,0,1.1,279,142,138,141,11
66,0,10,,67,frc6317,8,2,0,1.1,246,88,165,135,11
67,1,10,,68,frc5512,7,2,0,1.1,192,100,132,135,11
0,0,9,,1,frc5006,1,8,0,2.66,144,46,147,75,24
1,0,9,,2,frc323,1,8,0,2.55,135,52,129,108,23
2,0,9,,3,frc3937,2,7,0,2.44,189,110,99,81,22
3,0,9,,4,frc3039,0,9,0,2.33,147,54,102,87,21
4,0,9,,5,frc3616,2,7,0,2.11,90,64,120,102,19
5,0,9,,6,frc4087,3,6,0,2.11,51,64,138,96,19
6,0,9,,7,frc6640,2,7,0,2,87,34,105,111,18
7,0,9,,8,frc6886,4,5,0,1.88,51,20,120,99,17
8,0,9,,9,frc7767,1,7,1,1.77,123,16,75,105,16
9,0,9,,10,frc6586,3,6,0,1.66,114,38,78,108,15
10,0,9,,11,frc4336,3,6,0,1.66,51,72,87,99,15
11,0,9,,12,frc6055,2,6,1,1.55,114,20,63,105,14
12,0,9,,13,frc2992,4,5,0,1.55,102,52,102,87,14
13,0,9,,14,frc7766,3,5,1,1.55,81,44,84,66,14
14,0,9,,15,frc7568,2,5,2,1.55,45,34,81,105,14
15,0,9,,16,frc5809,3,6,0,1.55,36,30,84,69,14
16,0,9,,17,frc5965,3,6,0,1.44,114,22,69,108,13
17,0,9,,18,frc5437,4,5,0,1.44,99,66,72,81,13
18,0,9,,19,frc1982,3,5,1,1.44,84,48,87,108,13
19,0,9,,20,frc6840,4,5,0,1.44,78,32,84,69,13
20,0,9,,21,frc1939,4,5,0,1.33,156,38,99,87,12
21,0,9,,22,frc4603,3,6,0,1.33,141,24,54,87,12
22,0,9,,23,frc2357,4,5,0,1.33,126,36,87,93,12
23,0,9,,24,frc7804,4,5,0,1.33,96,42,87,87,12
24,0,9,,25,frc5454,4,4,1,1.33,96,36,60,78,12
25,0,9,,26,frc2080,4,5,0,1.33,87,36,84,90,12
26,0,9,,27,frc2164,4,5,0,1.33,66,22,78,81,12
27,0,9,,28,frc3946,5,4,0,1.33,54,28,90,108,12
28,0,9,,29,frc7430,4,5,0,1.22,102,30,48,78,11
29,0,9,,30,frc6404,4,5,0,1.22,66,32,66,75,11
30,0,9,,31,frc6186,5,4,0,1.22,57,24,84,75,11
31,0,9,,32,frc7798,4,5,0,1.22,45,24,51,60,11
32,0,9,,33,frc7908,5,4,0,1.22,33,26,87,57,11
33,0,9,,34,frc5568,4,4,1,1.11,84,64,45,87,10
34,0,9,,35,frc7910,4,4,1,1.11,60,30,78,123,10
35,0,9,,36,frc3991,5,4,0,1,81,18,60,93,9
36,0,9,,37,frc7846,4,4,1,1,60,38,54,60,9
37,0,9,,38,frc4576,5,4,0,1,57,20,54,60,9
38,0,9,,39,frc7483,5,4,0,1,45,38,78,99,9
39,0,9,,40,frc5729,5,4,0,1,45,24,69,87,9
40,0,9,,41,frc7842,6,3,0,1,30,42,81,87,9
41,0,9,,42,frc1723,5,3,1,0.88,66,22,54,87,8
42,0,9,,43,frc5002,6,3,0,0.88,57,56,84,90,8
43,0,9,,44,frc7255,6,3,0,0.88,57,28,72,81,8
44,0,9,,45,frc7459,6,3,0,0.88,36,46,66,57,8
45,0,9,,46,frc7878,6,3,0,0.88,36,46,60,54,8
46,0,9,,47,frc7075,6,2,1,0.77,66,48,87,87,7
47,0,9,,48,frc7655,6,3,0,0.77,60,36,69,81,7
48,0,9,,49,frc3011,6,3,0,0.77,45,18,57,69,7
49,0,9,,50,frc7106,7,2,0,0.66,84,14,63,96,6
50,0,9,,51,frc7896,7,2,0,0.66,39,36,72,66,6
51,1,9,,52,frc7868,6,2,0,0.55,33,30,45,69,5
52,0,9,,53,frc6131,7,2,0,0.55,27,48,78,84,5
53,0,9,,54,frc6855,7,2,0,0.44,66,42,51,90,4
54,0,9,,55,frc7702,7,2,0,0.44,48,26,51,87,4
55,0,9,,56,frc7123,7,2,0,0.44,48,22,54,69,4
56,0,9,,57,frc7467,8,1,0,0.33,24,16,45,45,3
57,0,9,,58,frc7263,9,0,0,0,45,28,51,78,0
0,0,11,,1,frc6510,2,9,0,2.81,180,54,192,117,31
1,0,11,,2,frc4774,1,9,1,2.45,213,62,183,123,27
2,0,11,,3,frc7561,1,10,0,2.18,216,58,117,153,24
3,0,11,,4,frc5584,3,8,0,2.18,204,70,153,150,24
4,0,11,,5,frc6508,4,7,0,2.18,162,80,201,123,24
5,0,11,,6,frc4613,2,9,0,2,198,114,114,144,22
6,0,11,,7,frc5985,4,7,0,1.63,108,116,123,147,18
0,0,11,,1,frc5985,2,9,0,2.54,165,134,177,144,28
1,0,11,,2,frc7130,2,9,0,2.45,216,86,192,144,27
2,0,11,,3,frc4613,2,8,1,2.36,207,74,177,114,26
3,0,11,,4,frc6986,3,8,0,2.18,192,66,177,135,24
4,0,11,,5,frc5451,3,8,0,2.18,180,90,168,129,24
5,0,11,,6,frc7433,5,6,0,2,183,54,192,114,22
6,0,11,,7,frc4774,4,7,0,1.9,195,58,153,123,21
7,0,11,,8,frc6434,3,7,1,1.9,195,54,141,135,21
8,0,11,,9,frc6510,5,6,0,1.9,183,74,174,132,21
9,0,11,,10,frc5593,4,6,1,1.9,93,96,153,138,21
10,0,11,,11,frc7523,3,8,0,1.81,195,90,123,129,20
11,0,11,,12,frc7124,4,7,0,1.81,174,92,126,129,20
12,0,11,,13,frc6579,4,7,0,1.72,189,104,126,126,19
13,0,11,,14,frc7527,4,7,0,1.63,192,82,123,120,18
14,0,11,,15,frc7526,4,7,0,1.54,150,116,120,162,17
15,0,11,,16,frc6050,6,5,0,1.54,123,62,153,114,17
16,0,11,,17,frc6520,6,5,0,1.45,165,52,129,114,16
17,0,11,,18,frc3132,4,6,1,1.36,165,102,96,129,15
18,0,11,,19,frc6996,4,6,1,1.36,96,78,99,138,15
19,0,11,,20,frc4253,6,5,0,1.27,189,74,111,129,14
20,0,11,,21,frc7632,7,4,0,1.27,159,66,132,153,14
21,0,11,,22,frc7583,6,5,0,1.27,153,70,120,141,14
22,0,11,,23,frc5449,6,3,2,1.27,153,58,126,102,14
23,0,11,,24,frc4817,6,5,0,1.27,150,80,123,120,14
24,0,11,,25,frc7636,5,5,1,1.27,147,60,99,123,14
25,0,11,,26,frc7023,6,5,0,1.18,171,52,120,126,13
26,0,11,,27,frc7593,5,5,1,1.18,153,54,102,135,13
27,0,11,,28,frc3881,6,5,0,1.18,126,56,90,138,13
28,0,11,,29,frc5308,6,5,0,1.18,114,70,114,126,13
29,0,11,,30,frc5516,6,5,0,1.09,177,58,99,126,12
30,0,11,,31,frc7163,7,3,1,1.09,135,62,138,144,12
31,0,11,,32,frc4801,7,4,0,1.09,114,50,114,105,12
32,0,11,,33,frc6083,7,4,0,0.9,183,96,105,135,10
33,0,11,,34,frc7128,7,3,1,0.9,168,58,111,129,10
34,0,11,,35,frc6191,8,2,1,0.81,147,78,105,117,9
35,0,11,,36,frc7641,8,3,0,0.81,132,56,96,144,9
36,0,11,,37,frc7278,8,3,0,0.81,129,58,108,102,9
37,0,11,,38,frc7644,7,4,0,0.81,126,68,84,96,9
38,0,11,,39,frc7719,8,3,0,0.72,123,54,84,135,8
39,0,11,,40,frc4802,10,1,0,0.36,96,44,69,102,4
0,0,8,,1,frc6508,2,6,0,2.62,156,62,141,84,21
1,0,8,,2,frc5451,1,7,0,2.5,171,66,126,81,20
2,0,8,,3,frc6510,2,6,0,2.5,153,40,147,93,20
3,0,8,,4,frc5449,2,6,0,2.5,123,60,141,81,20
4,0,8,,5,frc7433,1,6,1,2.37,171,74,105,84,19
5,0,8,,6,frc3132,0,8,0,2.25,174,82,90,111,18
6,0,8,,7,frc4613,3,5,0,2.25,159,60,129,81,18
7,0,8,,8,frc5985,2,6,0,2.25,117,94,114,102,18
8,0,8,,9,frc6986,3,5,0,2.12,123,48,129,90,17
9,0,8,,10,frc4614,2,6,0,2,84,46,87,84,16
10,0,8,,11,frc6304,2,6,0,1.87,186,76,117,102,15
11,0,8,,12,frc4270,3,5,0,1.87,150,54,111,99,15
12,0,8,,13,frc6386,3,5,0,1.87,117,36,123,84,15
13,0,8,,14,frc5648,3,5,0,1.87,105,58,102,81,15
14,0,8,,15,frc4774,3,5,0,1.75,144,48,87,96,14
15,0,8,,16,frc5663,3,5,0,1.75,135,56,105,102,14
16,0,8,,17,frc7780,3,5,0,1.75,120,46,102,114,14
17,0,8,,18,frc7146,3,5,0,1.75,108,34,81,93,14
18,0,8,,19,frc7074,3,5,0,1.75,102,56,102,84,14
19,0,8,,20,frc6432,3,5,0,1.75,90,34,93,90,14
20,0,8,,21,frc7741,3,5,0,1.62,165,68,93,108,13
21,0,8,,22,frc5308,3,5,0,1.62,108,46,93,108,13
22,0,8,,23,frc5876,3,5,0,1.62,93,42,96,108,13
23,0,8,,24,frc5988,4,4,0,1.62,78,40,102,90,13
24,0,8,,25,frc6083,3,5,0,1.5,171,66,78,96,12
25,0,8,,26,frc5333,3,5,0,1.5,150,46,81,96,12
26,0,8,,27,frc6579,3,5,0,1.5,144,56,72,87,12
27,0,8,,28,frc6997,3,5,0,1.5,126,56,75,111,12
28,0,8,,29,frc7838,4,4,0,1.5,102,58,78,108,12
29,0,8,,30,frc5584,3,5,0,1.5,93,60,72,99,12
30,0,8,,31,frc7709,5,3,0,1.37,144,26,102,96,11
31,0,8,,32,frc6063,4,4,0,1.37,132,44,75,87,11
32,0,8,,33,frc6476,3,4,1,1.37,96,68,75,99,11
33,0,8,,34,frc6520,4,4,0,1.25,168,28,81,90,10
34,0,8,,35,frc7593,4,4,0,1.25,165,66,69,96,10
35,1,8,,36,frc7551,3,4,0,1.25,120,32,63,81,10
36,0,8,,37,frc6996,3,5,0,1.25,117,78,60,99,10
37,0,8,,38,frc7844,4,4,0,1.25,84,54,81,96,10
38,0,8,,39,frc7588,4,4,0,1.12,105,34,57,87,9
39,0,8,,40,frc4802,4,3,1,1.12,96,52,69,66,9
40,0,8,,41,frc6813,5,3,0,1.12,90,56,87,99,9
41,0,8,,42,frc5516,4,3,1,1,135,42,66,90,8
42,0,8,,43,frc7047,5,3,0,1,111,92,81,78,8
43,0,8,,44,frc7707,6,2,0,1,84,40,96,81,8
44,0,8,,45,frc7561,5,3,0,0.87,150,42,54,102,7
45,0,8,,46,frc7113,5,3,0,0.87,120,20,60,90,7
46,0,8,,47,frc4537,5,3,0,0.87,117,60,63,84,7
47,0,8,,48,frc7884,6,2,0,0.87,84,50,84,99,7
48,0,8,,49,frc6007,5,3,0,0.87,66,32,60,81,7
49,0,8,,50,frc4739,5,3,0,0.75,96,36,66,90,6
50,0,8,,51,frc7586,6,2,0,0.75,93,44,66,66,6
51,0,8,,52,frc5522,5,3,0,0.75,90,34,51,96,6
52,0,8,,53,frc7601,6,1,1,0.75,84,32,96,78,6
53,0,8,,54,frc7719,7,1,0,0.62,93,44,75,90,5
54,0,8,,55,frc7129,6,2,0,0.62,90,26,66,81,5
55,0,8,,56,frc6035,5,2,1,0.62,81,44,57,99,5
56,0,8,,57,frc6441,6,2,0,0.62,72,28,54,69,5
57,0,8,,58,frc2437,7,1,0,0.5,102,38,78,81,4
58,0,8,,59,frc3881,6,2,0,0.5,99,52,48,108,4
59,0,8,,60,frc6524,7,1,0,0.5,63,26,66,96,4
60,0,8,,61,frc6575,7,1,0,0.37,63,34,66,90,3
61,0,8,,62,frc4729,8,0,0,0.12,69,30,66,90,1
0,0,10,,1,frc118,0,10,0,3.6,225,132,174,117,36
1,0,10,,2,frc2478,0,10,0,2.9,228,102,144,126,29
2,0,10,,3,frc3230,2,8,0,2.6,162,60,171,105,26
3,0,10,,4,frc4063,2,8,0,2.6,144,88,177,99,26
4,0,10,,5,frc1726,1,8,1,2.5,216,114,138,102,25
5,0,10,,6,frc2240,3,7,0,2.4,138,110,162,126,24
6,0,10,,7,frc4183,4,6,0,2.2,171,84,171,126,22
7,0,10,,8,frc842,3,6,1,2.1,198,90,120,105,21
8,0,10,,9,frc2486,1,8,1,2,195,60,102,120,20
9,0,10,,10,frc7426,2,8,0,1.9,228,94,84,129,19
10,0,10,,11,frc4565,3,7,0,1.8,186,86,99,108,18
11,0,10,,12,frc1138,4,6,0,1.8,177,42,135,126,18
12,0,10,,13,frc6824,3,7,0,1.8,138,114,111,129,18
13,0,10,,14,frc7214,3,7,0,1.8,129,56,105,126,18
14,0,10,,15,frc687,4,6,0,1.7,222,94,117,114,17
15,0,10,,16,frc6674,4,6,0,1.7,162,60,114,78,17
16,0,10,,17,frc1891,5,5,0,1.6,99,102,102,117,16
17,0,10,,18,frc670,4,6,0,1.5,168,66,84,129,15
18,0,10,,19,frc2403,6,4,0,1.5,126,90,132,126,15
19,0,10,,20,frc3019,4,6,0,1.5,120,58,93,132,15
20,0,10,,21,frc6871,4,6,0,1.5,117,104,102,123,15
21,0,10,,22,frc5496,5,5,0,1.4,150,70,129,102,14
22,0,10,,23,frc6656,5,5,0,1.4,138,52,93,120,14
23,0,10,,24,frc498,5,5,0,1.4,108,96,108,126,14
24,0,10,,25,frc5059,5,4,1,1.3,195,78,93,126,13
25,0,10,,26,frc5429,5,5,0,1.3,156,86,90,123,13
26,0,10,,27,frc4146,5,5,0,1.3,114,84,87,108,13
27,0,10,,28,frc3577,5,5,0,1.3,102,72,93,93,13
28,0,10,,29,frc7424,5,5,0,1.2,120,58,99,99,12
29,0,10,,30,frc7897,5,5,0,1.2,117,50,87,111,12
30,0,10,,31,frc6474,6,4,0,1.1,186,82,99,90,11
31,0,10,,32,frc7620,6,4,0,1.1,153,114,99,123,11
32,0,10,,33,frc60,6,3,1,1.1,141,100,114,120,11
33,0,10,,34,frc3133,6,4,0,1.1,108,76,96,123,11
34,0,10,,35,frc5539,6,4,0,1.1,108,36,108,78,11
35,0,10,,36,frc6127,6,4,0,1.1,108,34,102,84,11
36,1,10,,37,frc6922,6,3,0,1.1,99,56,105,123,11
37,0,10,,38,frc3009,6,4,0,1,162,88,81,135,10
38,0,10,,39,frc3853,7,3,0,1,141,30,78,108,10
39,0,10,,40,frc996,6,4,0,1,111,36,78,96,10
40,0,10,,41,frc3187,7,3,0,0.9,117,66,99,114,9
41,0,10,,42,frc6546,7,3,0,0.9,114,54,93,90,9
42,0,10,,43,frc991,7,2,1,0.9,105,52,114,111,9
43,0,10,,44,frc7547,7,3,0,0.9,90,76,81,96,9
44,1,10,,45,frc6821,6,3,0,0.9,90,54,84,123,9
45,0,10,,46,frc5133,7,3,0,0.9,84,40,99,111,9
